,result,diff,elo,opp_elo,game_time,color,start_time,day,weekday
340,0.0,-43,816,859,600.0,0,-240.05555555555557,12,0
341,0.0,16,807,791,600.0,0,-193.88888888888886,12,0
342,0.0,-50,800,850,600.0,1,-104.2222222222222,12,0
343,0.0,-42,793,835,600.0,1,-159.91666666666666,12,0
344,1.0,2,801,799,600.0,1,-208.33333333333331,13,1
345,1.0,31,809,778,600.0,0,-275.4166666666667,13,1
346,0.0,-46,802,848,300.0,1,-76.88888888888887,13,1
347,0.0,26,793,767,300.0,1,-73.19444444444443,13,1
348,1.0,-19,802,821,300.0,0,-133.80555555555557,13,1
349,0.0,-89,796,885,300.0,0,-164.24999999999994,13,1
350,1.0,24,804,780,300.0,0,-132.6944444444444,13,1
351,0.0,74,794,720,600.0,1,-38.027777777777764,14,2
352,1.0,88,800,712,600.0,0,-152.41666666666669,14,2
353,1.0,39,807,768,600.0,1,-62.97222222222221,14,2
354,0.0,49,797,748,600.0,0,-180.30555555555557,14,2
355,1.0,-122,808,930,600.0,0,-186.05555555555554,14,2
356,0.0,-34,800,834,600.0,1,-174.52777777777777,14,2
357,0.0,25,791,766,600.0,1,-63.44444444444442,14,2
358,1.0,-8,800,808,180.0,1,-96.97222222222221,14,2
359,0.0,5,791,786,180.0,1,-74.05555555555554,14,2
360,1.0,69,798,729,180.0,0,-87.41666666666666,14,2
361,0.5,9,798,789,600.0,0,-325.0,14,2
362,0.5,44,797,753,600.0,0,-165.38888888888886,14,2
363,0.5,-21,797,818,600.0,1,-300.8055555555556,15,3
364,0.0,-86,791,877,600.0,1,-182.91666666666666,15,3
365,0.0,18,782,764,600.0,0,-148.63888888888889,15,3
366,0.0,-44,775,819,600.0,0,-204.1111111111111,15,3
367,1.0,60,782,722,300.0,0,-134.24999999999997,15,3
368,1.0,114,788,674,300.0,1,-120.63888888888886,15,3
369,1.0,-68,798,866,300.0,1,-67.13888888888887,15,3
370,0.0,-29,790,819,300.0,1,-37.30555555555555,16,4
371,0.5,-44,791,835,300.0,1,-123.33333333333331,16,4
372,0.0,-49,784,833,300.0,0,-104.74999999999999,16,4
373,0.5,11,784,773,300.0,0,-146.86111111111111,17,5
374,1.0,112,790,678,300.0,1,-138.4722222222222,17,5
375,0.0,20,781,761,300.0,1,-77.88888888888887,17,5
376,1.0,-12,790,802,300.0,0,-57.9722222222222,18,6
377,0.0,-134,785,919,300.0,0,-132.02777777777774,18,6
378,0.0,-142,780,922,300.0,0,-118.88888888888887,18,6
379,1.0,-12,789,801,600.0,1,-60.08333333333331,18,6
380,0.0,-21,781,802,600.0,1,-233.1944444444444,18,6
381,1.0,124,786,662,300.0,0,-78.41666666666666,19,0
382,0.0,-107,780,887,300.0,1,-135.97222222222223,19,0
383,0.0,-75,773,848,300.0,1,-54.1111111111111,19,0
384,0.0,-38,766,804,600.0,0,-264.1666666666667,19,0
385,0.0,26,757,731,600.0,1,-128.75,19,0
386,1.0,59,764,705,600.0,0,-92.05555555555554,20,1
387,0.5,-20,764,784,600.0,1,-313.3055555555556,20,1
388,1.0,26,772,746,600.0,0,-291.22222222222223,20,1
389,1.0,-4,780,784,600.0,0,-175.08333333333331,20,1
390,1.0,-4,788,792,600.0,1,-184.8611111111111,20,1
391,0.0,-36,781,817,600.0,1,-135.02777777777774,20,1
392,0.0,-47,774,821,600.0,0,-203.24999999999997,20,1
393,1.0,91,780,689,600.0,1,-289.2222222222222,20,1
394,1.0,164,785,621,600.0,0,-155.05555555555554,20,1
395,0.0,20,776,756,600.0,0,-131.08333333333331,21,2
396,1.0,31,784,753,180.0,1,-94.13888888888889,21,2
397,0.0,-24,776,800,180.0,1,-94.75,21,2
398,0.0,-32,768,800,300.0,0,-91.66666666666666,21,2
399,1.0,71,775,704,300.0,1,-90.27777777777776,21,2
400,1.0,-48,784,832,300.0,0,-87.52777777777777,21,2
401,1.0,-44,793,837,300.0,0,-154.80555555555554,21,2
402,1.0,-79,803,882,300.0,1,-129.27777777777777,21,2
403,1.0,-15,812,827,300.0,0,-109.52777777777774,21,2
404,1.0,62,819,757,300.0,0,-121.80555555555554,21,2
405,0.0,108,808,700,300.0,0,-151.91666666666666,21,2
