,date,result,white_elo,black_elo,game_time,end_time,num_moves,color,won_by,weekday,day,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,start_time,opp_num_moves,avg_time,opp_avg_time,white_max_move,black_max_move,max_move,opp_max_move,post_elo,opp_post_elo,elo_delta,elo,opp_elo,diff
564,2017-07-29,0.0,916,948,600,8767.222222222223,22,1,7,5,29,0,6,-1,1,190,220,8653.333333333334,22,8.636363636363637,10.0,38.0,36.49999999999994,38.0,36.49999999999994,916,948,-8.0,924.0,956.0,-32
565,2017-07-29,0.0,907,888,600,8995.555555555555,44,1,7,5,29,0,12,-1,1,450,320,8781.666666666666,43,10.227272727272727,7.441860465116279,66.60000000000002,41.5,66.60000000000002,41.5,907,888,-9.0,916.0,897.0,19
566,2017-07-29,0.0,898,870,300,11471.388888888889,29,1,8,5,29,15,10,1,0,270,220,11335.277777777777,29,9.310344827586206,7.586206896551724,35.0,45.5,35.0,45.5,898,870,-9.0,907.0,879.0,28
567,2017-07-29,1.0,867,907,600,14716.666666666666,43,0,6,5,29,17,7,0,1,580,600,14388.888888888889,43,13.488372093023257,13.953488372093023,74.80000000000001,85.89999999999998,85.89999999999998,74.80000000000001,907,867,9.0,898.0,858.0,40
568,2017-07-29,0.5,841,905,600,17135.0,53,0,1,5,29,22,8,1,1,580,490,16837.777777777777,53,10.943396226415095,9.245283018867925,36.30000000000001,70.69999999999999,70.69999999999999,36.30000000000001,905,841,-2.0,907.0,843.0,64
569,2017-07-30,0.0,938,898,600,9135.555555555555,46,0,6,6,30,16,0,1,-1,600,400,8857.777777777777,47,13.043478260869565,8.51063829787234,28.80000000000001,66.30000000000001,66.30000000000001,28.80000000000001,898,938,-7.0,905.0,945.0,-40
570,2017-07-30,0.0,890,899,600,14098.333333333334,32,1,8,6,30,10,11,1,1,430,580,13817.77777777778,32,13.4375,18.125,74.90000000000003,65.5,74.90000000000003,65.5,890,899,-8.0,898.0,907.0,-9
571,2017-07-30,0.0,883,930,600,19625.0,61,1,6,6,30,8,7,1,1,600,560,19302.777777777777,61,9.836065573770492,9.180327868852459,44.80000000000007,38.89999999999998,44.80000000000007,38.89999999999998,883,930,-7.0,890.0,937.0,-47
572,2017-07-30,0.0,874,844,600,20387.222222222223,20,1,8,6,30,14,8,0,1,270,170,20265.0,20,13.5,8.5,43.0,28.899999999999977,43.0,28.899999999999977,874,844,-9.0,883.0,853.0,30
573,2017-07-31,0.0,868,866,600,10932.777777777777,21,0,8,0,31,15,7,1,1,170,220,10824.444444444443,22,8.095238095238095,10.0,30.599999999999966,23.099999999999966,23.099999999999966,30.599999999999966,866,868,-8.0,874.0,876.0,-2
574,2017-07-31,1.0,853,874,600,13418.888888888889,54,0,8,0,31,0,0,-1,-1,340,300,13241.111111111111,54,6.296296296296297,5.555555555555555,33.30000000000007,44.200000000000045,44.200000000000045,33.30000000000007,874,853,8.0,866.0,845.0,21
575,2017-07-31,0.0,900,866,600,19121.11111111111,37,0,8,0,31,0,11,-1,1,450,580,18835.0,38,12.162162162162161,15.263157894736842,46.799999999999955,47.0,47.0,46.799999999999955,866,900,-8.0,874.0,908.0,-34
